Tiempo [h];Tiempo [s];Dato;Altura de Vela [cm];Altura Vela [mm];Ancho de Vela [mm];Seccion de la Vela [mm^2];Altura de llama [cm];Altura de llama [mm];Temperatura
0,835;3005;601;13,34609518;133,4609518;15,25995325;95,88111404;4,512;45,121;83,46
0,836;3010;602;13,34075781;133,4075781;15,26337033;95,90258421;3,528;35,277;83,95
0,838;3015;603;13,33542257;133,3542257;15,26678605;95,92404579;3,167;31,673;84,43
0,839;3020;604;13,33008947;133,3008947;15,2702004;95,94549879;3,614;36,144;84,92
0,84;3025;605;13,3247585;133,247585;15,27361339;95,96694321;3,167;31,673;83,95
0,842;3030;606;13,31942966;133,1942966;15,27702501;95,98837905;4,475;44,748;82,97
0,843;3035;607;13,31410296;133,1410296;15,28043526;96,00980633;3,167;31,673;83,46
0,844;3040;608;13,30877838;133,0877838;15,28384415;96,03122503;4,482;44,821;84,43
0,846;3045;609;13,30345593;133,0345593;15,28725168;96,05263517;3,167;31,673;83,95
0,847;3050;610;13,29813562;132,9813562;15,29065785;96,07403674;4,512;45,116;84,43
0,849;3055;611;13,29281743;132,9281743;15,29406265;96,09542976;3,167;31,673;84,92
0,85;3060;612;13,28750136;132,8750136;15,2974661;96,11681422;4,421;44,214;85,41
0,851;3065;613;13,28218742;132,8218742;15,30086818;96,13819012;3,203;32,026;85,41
0,853;3070;614;13,27687561;132,7687561;15,3042689;96,15955748;4,485;44,846;84,43
0,854;3075;615;13,27156592;132,7156592;15,30766826;96,1809163;3,203;32,026;84,43
0,856;3080;616;13,26625836;132,6625836;15,31106626;96,20226657;4,504;45,041;83,95
0,857;3085;617;13,26095292;132,6095292;15,3144629;96,2236083;3,203;32,026;84,43
0,858;3090;618;13,2556496;132,556496;15,31785819;96,2449415;4,489;44,886;84,43
0,86;3095;619;13,2503484;132,503484;15,32125211;96,26626617;3,203;32,026;84,92
0,861;3100;620;13,24504932;132,4504932;15,32464468;96,28758231;3,587;35,867;84,92
0,863;3105;621;13,23975236;132,3975236;15,3280359;96,30888993;3,203;32,026;85,9
0,864;3110;622;13,23445752;132,3445752;15,33142575;96,33018902;4,535;45,349;86,39
0,865;3115;623;13,22916479;132,2916479;15,33481425;96,35147959;3,167;31,673;86,39
0,867;3120;624;13,22387418;132,2387418;15,3382014;96,37276165;4,504;45,036;84,92
0,868;3125;625;13,21858569;132,1858569;15,34158719;96,3940352;3,167;31,673;85,9
0,869;3130;626;13,21329931;132,1329931;15,34497162;96,41530025;3,515;35,147;84,92
0,871;3135;627;13,20801505;132,0801505;15,34835471;96,43655678;3,203;32,026;84,92
0,872;3140;628;13,2027329;132,027329;15,35173644;96,45780482;4,452;44,515;85,41
0,874;3145;629;13,19745286;131,9745286;15,35511681;96,47904436;3,203;32,026;85,9
0,875;3150;630;13,19217494;131,9217494;15,35849584;96,5002754;4,553;45,53;85,41
0,876;3155;631;13,18689912;131,8689912;15,36187351;96,52149796;3,203;32,026;85,9
0,878;3160;632;13,18162542;131,8162542;15,36524984;96,54271203;3,565;35,648;84,43
0,879;3165;633;13,17635382;131,7635382;15,36862481;96,56391761;3,203;32,026;84,92
0,881;3170;634;13,17108434;131,7108434;15,37199844;96,58511471;4,043;40,426;84,43
0,882;3175;635;13,16581696;131,6581696;15,37537071;96,60630334;3,203;32,026;83,95
0,883;3180;636;13,16055168;131,6055168;15,37874164;96,62748349;4,043;40,428;83,95
0,885;3185;637;13,15528851;131,5528851;15,38211121;96,64865517;3,203;32,026;83,46
0,886;3190;638;13,15002745;131,5002745;15,38547944;96,66981838;4,626;46,257;83,95
0,888;3195;639;13,14476849;131,4476849;15,38884633;96,69097313;3,203;32,026;84,43
0,889;3200;640;13,13951164;131,3951164;15,39221186;96,71211943;4,627;46,27;84,43
0,89;3205;641;13,13425688;131,3425688;15,39557605;96,73325726;3,203;32,026;83,95
0,892;3210;642;13,12900423;131,2900423;15,3989389;96,75438664;4,591;45,91;84,43
0,893;3215;643;13,12375368;131,2375368;15,4023004;96,77550757;3,203;32,026;84,92
0,894;3220;644;13,11850523;131,1850523;15,40566056;96,79662005;3,589;35,889;84,92
0,896;3225;645;13,11325887;131,1325887;15,40901937;96,81772409;3,203;32,026;83,95
0,897;3230;646;13,10801462;131,0801462;15,41237684;96,83881969;4,608;46,079;83,95
0,899;3235;647;13,10277246;131,0277246;15,41573296;96,85990686;3,203;32,026;83,95
0,9;3240;648;13,0975324;130,975324;15,41908775;96,88098559;3,95;39,497;84,92
0,901;3245;649;13,09229444;130,9229444;15,42244119;96,90205589;3,203;32,026;84,43
0,903;3250;650;13,08705857;130,8705857;15,42579329;96,92311776;3,608;36,084;84,92
0,904;3255;651;13,08182479;130,8182479;15,42914405;96,94417121;3,203;32,026;85,9
0,906;3260;652;13,07659311;130,7659311;15,43249347;96,96521625;3,667;36,673;85,9
0,907;3265;653;13,07136351;130,7136351;15,43584155;96,98625286;3,203;32,026;85,41
0,908;3270;654;13,06613601;130,6613601;15,4391883;97,00728106;4,696;46,963;86,39
0,91;3275;655;13,06091061;130,6091061;15,4425337;97,02830086;3,203;32,026;85,9
0,911;3280;656;13,05568729;130,5568729;15,44587777;97,04931224;4,648;46,476;86,39
0,913;3285;657;13,05046606;130,5046606;15,4492205;97,07031523;3,203;32,026;85,9
0,914;3290;658;13,04524691;130,4524691;15,45256189;97,09130981;4,103;41,026;85,9
0,915;3295;659;13,04002986;130,4002986;15,45590194;97,112296;3,203;32,026;85,41
0,917;3300;660;13,03481489;130,3481489;15,45924066;97,13327379;3,695;36,954;84,92
0,918;3305;661;13,02960201;130,2960201;15,46257805;97,1542432;3,203;32,026;84,92
0,919;3310;662;13,02439121;130,2439121;15,4659141;97,17520422;4,561;45,612;84,92
0,921;3315;663;13,01918249;130,1918249;15,46924881;97,19615685;3,203;32,026;84,43
0,922;3320;664;13,01397586;130,1397586;15,47258219;97,21710111;4,025;40,252;83,95
0,924;3325;665;13,00877131;130,0877131;15,47591424;97,23803699;3,203;32,026;84,43
0,925;3330;666;13,00356884;130,0356884;15,47924496;97,2589645;4,048;40,479;85,41
0,926;3335;667;12,99836846;129,9836846;15,48257434;97,27988364;3,203;32,026;86,39
0,928;3340;668;12,99317015;129,9317015;15,4859024;97,30079441;3,593;35,928;83,95
0,929;3345;669;12,98797392;129,8797392;15,48922912;97,32169682;3,203;32,026;84,43
0,931;3350;670;12,98277977;129,8277977;15,49255451;97,34259088;3,243;32,425;84,43
0,932;3355;671;12,9775877;129,775877;15,49587857;97,36347657;3,203;32,026;84,43
0,933;3360;672;12,9723977;129,723977;15,49920131;97,38435391;3,158;31,575;84,43
0,935;3365;673;12,96720978;129,6720978;15,50252271;97,40522291;3,203;32,026;83,46
0,936;3370;674;12,96202393;129,6202393;15,50584278;97,42608356;4,415;44,152;83,95
0,938;3375;675;12,95684016;129,5684016;15,50916153;97,44693586;3,203;32,026;84,92
0,939;3380;676;12,95165846;129,5165846;15,51247895;97,46777983;4,473;44,725;85,41
0,94;3385;677;12,94647883;129,4647883;15,51579505;97,48861546;3,203;32,026;85,41
0,942;3390;678;12,94130127;129,4130127;15,51910981;97,50944275;4,557;45,566;87,36
0,943;3395;679;12,93612579;129,3612579;15,52242325;97,53026172;3,203;32,026;86,88
0,944;3400;680;12,93095237;129,3095237;15,52573537;97,55107236;4,525;45,252;87,36
0,946;3405;681;12,92578103;129,2578103;15,52904616;97,57187468;3,203;32,026;86,88
0,947;3410;682;12,92061175;129,2061175;15,53235563;97,59266868;4,484;44,837;87,36
0,949;3415;683;12,91544454;129,1544454;15,53566378;97,61345437;3,203;32,026;87,36
0,95;3420;684;12,91027939;129,1027939;15,5389706;97,63423174;3,197;31,966;87,36
0,951;3425;685;12,90511631;129,0511631;15,5422761;97,6550008;3,203;32,026;88,34
0,953;3430;686;12,8999553;128,999553;15,54558027;97,67576156;3,268;32,676;87,36
0,954;3435;687;12,89479635;128,9479635;15,54888313;97,69651401;3,203;32,026;87,36
0,956;3440;688;12,88963946;128,8963946;15,55218466;97,71725817;4,641;46,405;88,34
0,957;3445;689;12,88448464;128,8448464;15,55548488;97,73799403;3,203;32,026;87,85
0,958;3450;690;12,87933187;128,7933187;15,55878377;97,75872159;3,431;34,309;86,39
0,96;3455;691;12,87418117;128,7418117;15,56208135;97,77944087;3,203;32,026;86,39
0,961;3460;692;12,86903253;128,6903253;15,5653776;97,80015186;4,543;45,434;85,9
0,963;3465;693;12,86388594;128,6388594;15,56867254;97,82085457;3,538;35,381;86,39
0,964;3470;694;12,85874142;128,5874142;15,57196616;97,841549;3,203;32,026;85,41
0,965;3475;695;12,85359895;128,5359895;15,57525847;97,86223515;4,57;45,704;85,41
0,967;3480;696;12,84845854;128,4845854;15,57854945;97,88291303;3,203;32,026;84,92
0,968;3485;697;12,84332018;128,4332018;15,58183912;97,90358264;4,582;45,815;85,41
0,969;3490;698;12,83818388;128,3818388;15,58512748;97,92424398;3,203;32,026;83,95
0,971;3495;699;12,83304964;128,3304964;15,58841452;97,94489706;4,379;43,788;85,41
0,972;3500;700;12,82791744;128,2791744;15,59170024;97,96554188;3,238;32,38;84,43
0,974;3505;701;12,8227873;128,227873;15,59498465;97,98617845;4,592;45,921;84,43
0,975;3510;702;12,81765921;128,1765921;15,59826775;98,00680676;3,238;32,379;84,43
0,976;3515;703;12,81253318;128,1253318;15,60154954;98,02742682;3,848;38,48;83,9
0,978;3520;704;12,80740919;128,0740919;15,60483001;98,04803864;3,238;32,379;83,46
0,979;3525;705;12,80228725;128,0228725;15,60810917;98,06864221;4,11;41,105;83,46
0,981;3530;706;12,79716736;127,9716736;15,61138702;98,08923754;3,203;32,026;84,43
0,982;3535;707;12,79204951;127,9204951;15,61466356;98,10982464;4,562;45,621;83,95
0,983;3540;708;12,78693372;127,8693372;15,61793879;98,1304035;3,238;32,379;84,92
0,985;3545;709;12,78181997;127,8181997;15,6212127;98,15097414;4,174;41,737;83,95
0,986;3550;710;12,77670826;127,7670826;15,62448531;98,17153654;3,203;32,026;84,43
0,988;3555;711;12,7715986;127,715986;15,62775661;98,19209073;3,643;36,434;84,43
0,989;3560;712;12,76649098;127,6649098;15,6310266;98,21263669;3,238;32,379;83,46
0,99;3565;713;12,76138541;127,6138541;15,63429529;98,23317444;4,2;42,004;83,46
0,992;3570;714;12,75628187;127,5628187;15,63756266;98,25370397;3,24;32,404;83,95
0,993;3575;715;12,75118038;127,5118038;15,64082873;98,27422529;4,47;44,704;83,95
0,994;3580;716;12,74608093;127,4608093;15,6440935;98,29473841;3,238;32,379;83,46
0,996;3585;717;12,74098352;127,4098352;15,64735696;98,31524332;3,994;39,938;82,48
0,997;3590;718;12,73588814;127,3588814;15,65061911;98,33574004;3,238;32,38;83,95
0,999;3595;719;12,7307948;127,307948;15,65387996;98,35622855;4,231;42,306;82,97
1;3600;720;12,72570351;127,2570351;15,6571395;98,37670887;3,238;32,379;82,48
1,001;3605;721;12,72061424;127,2061424;15,66039774;98,397181;4,194;41,945;83,46
1,003;3610;722;12,71552701;127,1552701;15,66365468;98,41764495;3,238;32,379;84,43
1,004;3615;723;12,71044182;127,1044182;15,66691032;98,43810071;4,198;41,978;83,95
1,006;3620;724;12,70535866;127,0535866;15,67016465;98,45854829;3,241;32,407;83,46
1,007;3625;725;12,70027753;127,0027753;15,67341768;98,47898769;4,312;43,124;82,97
1,008;3630;726;12,69519844;126,9519844;15,67666941;98,49941892;3,241;32,407;83,46
1,01;3635;727;12,69012137;126,9012137;15,67991984;98,51984197;4,331;43,311;82,97
1,011;3640;728;12,68504634;126,8504634;15,68316897;98,54025686;3,238;32,38;83,46
1,013;3645;729;12,67997334;126,7997334;15,6864168;98,56066359;4,298;42,978;83,95
1,014;3650;730;12,67490236;126,7490236;15,68966334;98,58106215;3,238;32,379;83,95
1,015;3655;731;12,66983341;126,6983341;15,69290857;98,60145256;4,315;43,148;82,97
1,017;3660;732;12,66476649;126,6476649;15,69615251;98,62183481;3,238;32,379;83,95
1,018;3665;733;12,6597016;126,597016;15,69939515;98,64220891;4,253;42,535;82,48
1,019;3670;734;12,65463873;126,5463873;15,70263649;98,66257486;3,238;32,379;83,46
1,021;3675;735;12,64957789;126,4957789;15,70587653;98,68293267;4,322;43,221;82,97
1,022;3680;736;12,64451907;126,4451907;15,70911528;98,70328233;3,238;32,38;83,46
1,024;3685;737;12,63946227;126,3946227;15,71235274;98,72362386;4,444;44,436;83,46
1,025;3690;738;12,6344075;126,344075;15,7155889;98,74395726;4,273;42,727;82,48
1,026;3695;739;12,62935475;126,2935475;15,71882376;98,76428252;3,238;32,379;82,48
1,028;3700;740;12,62430402;126,2430402;15,72205734;98,78459965;4,471;44,714;81,5
1,029;3705;741;12,6192553;126,192553;15,72528961;98,80490866;3,273;32,733;82,48
1,031;3710;742;12,61420861;126,1420861;15,7285206;98,82520954;4,351;43,513;82,48
1,032;3715;743;12,60916394;126,0916394;15,73175029;98,84550231;3,273;32,733;82,48
1,033;3720;744;12,60412128;126,0412128;15,7349787;98,86578696;4,411;44,11;83,95
1,035;3725;745;12,59908064;125,9908064;15,73820581;98,8860635;3,275;32,747;84,92
1,036;3730;746;12,59404202;125,9404202;15,74143163;98,90633193;4,297;42,97;83,95
1,038;3735;747;12,58900541;125,8900541;15,74465616;98,92659225;3,277;32,768;83,95
1,039;3740;748;12,58397081;125,8397081;15,7478794;98,94684447;4,673;46,733;84,92
1,04;3745;749;12,57893823;125,7893823;15,75110135;98,9670886;3,238;32,38;85,41
1,042;3750;750;12,57390766;125,7390766;15,75432202;98,98732462;4,318;43,178;85,9
1,043;3755;751;12,5688791;125,688791;15,75754139;99,00755256;3,273;32,733;84,43
1,044;3760;752;12,56385256;125,6385256;15,76075948;99,0277724;4,633;46,328;84,92
1,046;3765;753;12,55882802;125,5882802;15,76397628;99,04798416;3,273;32,733;83,95
1,047;3770;754;12,55380549;125,5380549;15,7671918;99,06818783;4,41;44,1;84,92
1,049;3775;755;12,54878498;125,4878498;15,77040603;99,08838343;3,273;32,733;83,95
1,05;3780;756;12,54376647;125,4376647;15,77361897;99,10857095;4,652;46,519;85,41
1,051;3785;757;12,53874996;125,3874996;15,77683063;99,12875039;3,273;32,733;84,43
1,053;3790;758;12,53373546;125,3373546;15,780041;99,14892177;4,735;47,347;84,92
1,054;3795;759;12,52872297;125,2872297;15,78325009;99,16908507;3,273;32,733;83,95
1,056;3800;760;12,52371249;125,2371249;15,7864579;99,18924032;4,439;44,39;83,95
1,057;3805;761;12,518704;125,18704;15,78966442;99,2093875;3,273;32,733;84,92
1,058;3810;762;12,51369752;125,1369752;15,79286966;99,22952663;4,481;44,805;84,43
1,06;3815;763;12,50869304;125,0869304;15,79607362;99,2496577;3,273;32,733;83,46
1,061;3820;764;12,50369057;125,0369057;15,7992763;99,26978072;4,4;43,997;83,46
1,063;3825;765;12,49869009;124,9869009;15,8024777;99,28989569;3,273;32,733;82,97
1,064;3830;766;12,49369162;124,9369162;15,80567782;99,31000262;4,416;44,157;83,95
1,065;3835;767;12,48869514;124,8869514;15,80887665;99,33010151;3,273;32,733;83,95
1,067;3840;768;12,48370066;124,8370066;15,81207421;99,35019236;4,489;44,887;83,46
1,068;3845;769;12,47870818;124,7870818;15,81527049;99,37027518;3,273;32,733;83,46
1,069;3850;770;12,47371769;124,7371769;15,81846549;99,39034996;4,569;45,695;83,95
1,071;3855;771;12,4687292;124,687292;15,82165922;99,41041672;3,273;32,733;83,46
1,072;3860;772;12,46374271;124,6374271;15,82485166;99,43047545;4,621;46,213;83,46
1,074;3865;773;12,45875821;124,5875821;15,82804283;99,45052616;3,271;32,71;83,46
1,075;3870;774;12,4537757;124,537757;15,83123272;99,47056885;4,034;40,335;82,97
1,076;3875;775;12,44879519;124,4879519;15,83442134;99,49060352;3,273;32,733;83,46
1,078;3880;776;12,44381667;124,4381667;15,83760868;99,51063018;4,22;42,2;82,48
1,079;3885;777;12,43884013;124,3884013;15,84079475;99,53064884;3,273;32,733;82,97
1,081;3890;778;12,43386559;124,3386559;15,84397954;99,55065948;4,759;47,594;82,97
1,082;3895;779;12,42889304;124,2889304;15,84716306;99,57066213;3,273;32,733;83,46
1,083;3900;780;12,42392248;124,2392248;15,85034531;99,59065677;4,736;47,362;83,46
1,085;3905;781;12,4189539;124,189539;15,85352629;99,61064342;3,273;32,733;84,43
1,086;3910;782;12,41398732;124,1398732;15,85670599;99,63062208;4,516;45,165;83,95
1,088;3915;783;12,40902271;124,0902271;15,85988442;99,65059274;3,273;32,733;83,95
1,089;3920;784;12,4040601;124,040601;15,86306158;99,67055542;4,601;46,006;83,95
1,09;3925;785;12,39909946;123,9909946;15,86623746;99,69051012;3,273;32,733;83,95
1,092;3930;786;12,39414082;123,9414082;15,86941208;99,71045684;4,47;44,702;83,46
1,093;3935;787;12,38918415;123,8918415;15,87258543;99,73039557;3,273;32,733;81,99
1,094;3940;788;12,38422947;123,8422947;15,87575751;99,75032634;4,722;47,22;82,97
1,096;3945;789;12,37927677;123,7927677;15,87892832;99,77024913;4,282;42,822;82,48
1,097;3950;790;12,37432605;123,7432605;15,88209787;99,79016396;3,273;32,733;83,46
1,099;3955;791;12,36937731;123,6937731;15,88526614;99,81007082;4,398;43,977;82,97
1,1;3960;792;12,36443055;123,6443055;15,88843315;99,82996972;3,273;32,733;82,48
1,101;3965;793;12,35948576;123,5948576;15,89159889;99,84986066;4,383;43,829;83,95
1,103;3970;794;12,35454296;123,5454296;15,89476337;99,86974365;3,273;32,733;83,46
1,104;3975;795;12,34960213;123,4960213;15,89792658;99,88961869;4,54;45,404;83,95
1,106;3980;796;12,34466327;123,4466327;15,90108852;99,90948578;3,273;32,733;83,46
1,107;3985;797;12,3397264;123,397264;15,9042492;99,92934492;4,489;44,892;83,95
1,108;3990;798;12,33479149;123,3479149;15,90740862;99,94919612;3,273;32,733;84,43
1,11;3995;799;12,32985856;123,2985856;15,91056677;99,96903938;4,427;44,268;83,95
1,111;4000;800;12,32492761;123,2492761;15,91372366;99,98887471;3,273;32,733;84,43
1,113;4005;801;12,31999862;123,1999862;15,91687929;100,0087021;4,842;48,417;84,92
1,114;4010;802;12,31507161;123,1507161;15,92003366;100,0285216;4,698;46,975;84,43
1,115;4015;803;12,31014656;123,1014656;15,92318676;100,0483331;3,273;32,733;83,95
1,117;4020;804;12,30522349;123,0522349;15,92633861;100,0681367;4,85;48,501;83,95
1,118;4025;805;12,30030238;123,0030238;15,92948919;100,0879324;3,273;32,733;83,46
1,119;4030;806;12,29538325;122,9538325;15,93263851;100,1077202;4,498;44,976;83,95
1,121;4035;807;12,29046608;122,9046608;15,93578657;100,1275001;3,273;32,733;83,95
1,122;4040;808;12,28555087;122,8555087;15,93893338;100,147272;4,582;45,819;83,95
1,124;4045;809;12,28063764;122,8063764;15,94207892;100,1670361;3,273;32,733;83,46
1,125;4050;810;12,27572636;122,7572636;15,94522321;100,1867922;4,542;45,423;83,95
1,126;4055;811;12,27081706;122,7081706;15,94836624;100,2065404;3,271;32,711;84,92
1,128;4060;812;12,26590971;122,6590971;15,95150802;100,2262808;4,529;45,288;85,41
1,129;4065;813;12,26100433;122,6100433;15,95464853;100,2460132;3,273;32,733;84,43
1,131;4070;814;12,25610091;122,5610091;15,95778779;100,2657378;4,565;45,652;84,92
1,132;4075;815;12,25119945;122,5119945;15,9609258;100,2854545;4,471;44,711;84,43
1,133;4080;816;12,24629995;122,4629995;15,96406255;100,3051633;3,273;32,733;84,92
1,135;4085;817;12,24140241;122,4140241;15,96719805;100,3248642;4,483;44,834;84,43
1,136;4090;818;12,23650682;122,3650682;15,97033229;100,3445572;3,273;32,733;84,97
1,138;4095;819;12,2316132;122,316132;15,97346528;100,3642423;3,151;31,509;83,46
1,139;4100;820;12,22672153;122,2672153;15,97659701;100,3839196;3,273;32,733;84,43
1,14;4105;821;12,22183182;122,2183182;15,9797275;100,403589;2,92;29,199;83,46
1,142;4110;822;12,21694407;122,1694407;15,98285673;100,4232506;3,273;32,733;83,95
1,143;4115;823;12,21205827;122,1205827;15,98598471;100,4429042;2,942;29,421;83,95
1,144;4120;824;12,20717442;122,0717442;15,98911144;100,4625501;3,035;30,352;83,46
1,146;4125;825;12,20229253;122,0229253;15,99223692;100,482188;3,273;32,733;84,43
1,147;4130;826;12,19741259;121,9741259;15,99536114;100,5018181;3,147;31,474;82,97
1,149;4135;827;12,1925346;121,925346;15,99848412;100,5214404;3,273;32,733;82,97
1,15;4140;828;12,18765856;121,8765856;16,00160585;100,5410548;3,026;30,26;83,95
1,151;4145;829;12,18278447;121,8278447;16,00472634;100,5606614;3,273;32,733;83,46
1,153;4150;830;12,17791233;121,7791233;16,00784557;100,5802601;3,199;31,994;84,43
1,154;4155;831;12,17304214;121,7304214;16,01096356;100,599851;3,273;32,733;84,92
1,156;4160;832;12,1681739;121,681739;16,0140803;100,619434;3,986;39,861;84,92
1,157;4165;833;12,1633076;121,633076;16,01719579;100,6390092;3,273;32,733;84,92
1,158;4170;834;12,15844325;121,5844325;16,02031004;100,6585766;3,972;39,718;84,43
1,16;4175;835;12,15358085;121,5358085;16,02342304;100,6781362;3,279;32,786;84,92
1,161;4180;836;12,14872039;121,4872039;16,02653479;100,6976879;3,264;32,642;85,9
1,163;4185;837;12,14386187;121,4386187;16,02964531;100,7172319;3,273;32,733;86,39
1,164;4190;838;12,1390053;121,390053;16,03275457;100,736768;3,502;35,02;84,92
1,165;4195;839;12,13415066;121,3415066;16,0358626;100,7562963;3,273;32,733;85,9
1,167;4200;840;12,12929798;121,2929798;16,03896938;100,7758168;3,628;36,279;84,92
1,168;4205;841;12,12444723;121,2444723;16,04207492;100,7953294;3,273;32,733;84,43
1,169;4210;842;12,11959842;121,1959842;16,04517922;100,8148343;3,354;33,542;84,43
1,171;4215;843;12,11475155;121,1475155;16,04828227;100,8343314;3,273;32,733;84,43
1,172;4220;844;12,10990662;121,0990662;16,05138409;100,8538207;3,394;33,937;84,92
1,174;4225;845;12,10506362;121,0506362;16,05448466;100,8733022;3,273;32,733;84,43
1,175;4230;846;12,10022256;121,0022256;16,057584;100,8927758;4,084;40,844;84,92
1,176;4235;847;12,09538344;120,9538344;16,06068209;100,9122418;3,273;32,733;84,43
1,178;4240;848;12,09054626;120,9054626;16,06377895;100,9316999;4,067;40,667;83,95
1,179;4245;849;12,08571101;120,8571101;16,06687457;100,9511502;3,273;32,733;83,46
1,181;4250;850;12,08087769;120,8087769;16,06996895;100,9705928;3,796;37,963;83,95
1,182;4255;851;12,0760463;120,760463;16,07306209;100,9900276;3,273;32,733;84,43
1,183;4260;852;12,07121685;120,7121685;16,07615399;101,0094546;3,816;38,163;83,95
1,185;4265;853;12,06638933;120,6638933;16,07924466;101,0288738;3,273;32,733;83,95
1,186;4270;854;12,06156374;120,6156374;16,0823341;101,0482853;3,936;39,358;84,43
1,188;4275;855;12,05674008;120,5674008;16,08542229;101,067689;3,273;32,733;84,43
1,189;4280;856;12,05191835;120,5191835;16,08850925;101,087085;3,953;39,527;83,95
1,19;4285;857;12,04709854;120,4709854;16,09159498;101,1064732;3,448;34,475;85,41
1,192;4290;858;12,04228067;120,4228067;16,09467948;101,1258536;3,643;36,428;83,95
1,193;4295;859;12,03746472;120,3746472;16,09776274;101,1452263;3,801;38,006;84,43
1,194;4300;860;12,0326507;120,326507;16,10084476;101,1645912;3,273;32,733;85,41
1,196;4305;861;12,0278386;120,278386;16,10392556;101,1839484;3,956;39,563;85,9
1,197;4310;862;12,02302842;120,2302842;16,10700512;101,2032979;3,273;32,733;85,9
1,199;4315;863;12,01822017;120,1822017;16,11008345;101,2226396;3,977;39,766;86,39
1,2;4320;864;12,01341385;120,1341385;16,11316055;101,2419736;3,273;32,733;84,92
1,201;4325;865;12,00860944;120,0860944;16,11623642;101,2612999;3,679;36,79;86,88
1,203;4330;866;12,00380696;120,0380696;16,11931106;101,2806184;3,273;32,733;86,88
1,204;4335;867;11,9990064;119,990064;16,12238447;101,2999292;4,023;40,229;86,88
1,206;4340;868;11,99420776;119,9420776;16,12545665;101,3192323;3,273;32,733;86,88
1,207;4345;869;11,98941103;119,8941103;16,1285276;101,3385276;4,258;42,578;85,9
1,208;4350;870;11,98461623;119,8461623;16,13159732;101,3578153;3,273;32,733;86,88
1,21;4355;871;11,97982334;119,7982334;16,13466582;101,3770952;3,762;37,623;86,88
1,211;4360;872;11,97503237;119,7503237;16,13773308;101,3963674;3,273;32,733;86,88
1,213;4365;873;11,97024331;119,7024331;16,14079913;101,4156319;3,808;38,084;86,88
1,214;4370;874;11,96545617;119,6545617;16,14386394;101,4348887;3,273;32,733;86,88
1,215;4375;875;11,96067095;119,6067095;16,14692753;101,4541378;4,061;40,61;86,88
1,217;4380;876;11,95588764;119,5588764;16,1499899;101,4733792;3,273;32,733;87,36
1,218;4385;877;11,95110624;119,5110624;16,15305104;101,4926129;4,223;42,23;88,34
1,219;4390;878;11,94632675;119,4632675;16,15611095;101,511839;3,273;32,733;86,88
1,221;4395;879;11,94154917;119,4154917;16,15916964;101,5310573;3,739;37,39;87,36
1,222;4400;880;11,93677351;119,3677351;16,16222711;101,5502679;3,273;32,733;86,39
1,224;4405;881;11,93199976;119,3199976;16,16528336;101,5694709;4,087;40,867;86,88
1,225;4410;882;11,92722791;119,2722791;16,16833838;101,5886662;3,273;32,733;86,88
1,226;4415;883;11,92245797;119,2245797;16,17139219;101,6078538;4,229;42,288;86,39
1,228;4420;884;11,91768994;119,1768994;16,17444477;101,6270337;3,273;32,733;85,9
1,229;4425;885;11,91292382;119,1292382;16,17749613;101,646206;4,286;42,864;86,39
1,231;4430;886;11,9081596;119,081596;16,18054627;101,6653706;4,175;41,75;85,9
1,232;4435;887;11,90339729;119,0339729;16,18359519;101,6845275;3,273;32,733;85,9
1,233;4440;888;11,89863689;118,9863689;16,18664289;101,7036768;4,329;43,29;85,9
1,235;4445;889;11,89387838;118,9387838;16,18968937;101,7228184;3,271;32,711;85,9
1,236;4450;890;11,88912178;118,8912178;16,19273463;101,7419523;4,582;45,823;85,9
1,238;4455;891;11,88436709;118,8436709;16,19577868;101,7610786;3,273;32,733;85,41
1,239;4460;892;11,87961429;118,7961429;16,19882151;101,7801973;3,897;38,97;85,9
1,24;4465;893;11,87486339;118,7486339;16,20186312;101,7993083;3,273;32,733;84,92
1,242;4470;894;11,8701144;118,701144;16,20490351;101,8184117;4,386;43,86;85,41
1,243;4475;895;11,8653673;118,653673;16,20794269;101,8375074;4,423;44,234;85,9
1,244;4480;896;11,8606221;118,606221;16,21098066;101,8565955;3,273;32,733;84,92
1,246;4485;897;11,8558788;118,558788;16,2140174;101,8756759;3,84;38,401;85,41
1,247;4490;898;11,8511374;118,511374;16,21705294;101,8947488;4,347;43,473;85,41
1,249;4495;899;11,84639789;118,4639789;16,22008726;101,9138139;3,273;32,733;85,9
1,25;4500;900;11,84166028;118,4166028;16,22312037;101,9328715;4,672;46,725;85,41
1,251;4505;901;11,83692457;118,3692457;16,22615226;101,9519215;3,273;32,733;85,41
1,253;4510;902;11,83219074;118,3219074;16,22918294;101,9709638;4,284;42,843;85,41
1,254;4515;903;11,82745881;118,2745881;16,23221241;101,9899985;3,273;32,733;84,92
1,256;4520;904;11,82272878;118,2272878;16,23524067;102,0090256;3,951;39,508;84,43
1,257;4525;905;11,81800063;118,1800063;16,23826771;102,0280451;3,273;32,733;84,92
1,258;4530;906;11,81327437;118,1327437;16,24129355;102,047057;4,6;45,997;84,43
1,26;4535;907;11,80855001;118,0855001;16,24431818;102,0660613;3,273;32,733;83,46
1,261;4540;908;11,80382753;118,0382753;16,24734159;102,085058;4,692;46,917;83,95
1,263;4545;909;11,79910695;117,9910695;16,2503638;102,1040471;3,273;32,733;83,46
1,264;4550;910;11,79438825;117,9438825;16,2533848;102,1230286;4,762;47,616;83,95
